setup	problem	target	train_dataset	test_dataset	is_null	metric	i_split	i_iter	score
silo	regression	nb:Age	site2	site1-site2-weighted	False	mean_absolute_error	1	0	71.79037559737318
silo	regression	nb:Age	site2	site1-site2-weighted	False	explained_variance	1	0	0.007758401450865482
federated	regression	nb:Age	site1-site2	site1	False	r2	1	0	-22.548901909660792
federated	regression	nb:Age	site1-site2	site1	False	mean_squared_error	1	0	5276.604033806475
federated	regression	nb:Age	site1-site2	site1	False	mean_absolute_error	1	0	71.08865192468313
federated	regression	nb:Age	site1-site2	site1	False	explained_variance	1	0	0.004741668056849169
federated	regression	nb:Age	site1-site2	site2	False	r2	1	0	-27.299497332326073
federated	regression	nb:Age	site1-site2	site2	False	mean_squared_error	1	0	5420.70843390226
federated	regression	nb:Age	site1-site2	site2	False	mean_absolute_error	1	0	72.3123165748958
federated	regression	nb:Age	site1-site2	site2	False	explained_variance	1	0	-0.00046690966189810723
federated	regression	nb:Age	site1-site2	site1-site2	False	r2	1	0	-24.692076389379505
federated	regression	nb:Age	site1-site2	site1-site2	False	mean_squared_error	1	0	5348.656233854369
federated	regression	nb:Age	site1-site2	site1-site2	False	mean_absolute_error	1	0	71.70048424978947
federated	regression	nb:Age	site1-site2	site1-site2	False	explained_variance	1	0	0.002335985390545914
federated	regression	nb:Age	site1-site2	site1-site2-weighted	False	r2	1	0	-24.692076389379498
federated	regression	nb:Age	site1-site2	site1-site2-weighted	False	mean_squared_error	1	0	5348.656233854367
federated	regression	nb:Age	site1-site2	site1-site2-weighted	False	mean_absolute_error	1	0	71.70048424978947
federated	regression	nb:Age	site1-site2	site1-site2-weighted	False	explained_variance	1	0	0.002335985390545914
mega	regression	nb:Age	site1-site2	site1	False	r2	1	0	-22.854657845000503
mega	regression	nb:Age	site1-site2	site1	False	mean_squared_error	1	0	5345.11478679033
mega	regression	nb:Age	site1-site2	site1	False	mean_absolute_error	1	0	71.56946107260616
mega	regression	nb:Age	site1-site2	site1	False	explained_variance	1	0	0.005101255446988029
mega	regression	nb:Age	site1-site2	site2	False	r2	1	0	-27.66084342637798
mega	regression	nb:Age	site1-site2	site2	False	mean_squared_error	1	0	5489.923508522945
mega	regression	nb:Age	site1-site2	site2	False	mean_absolute_error	1	0	72.79968768228382
mega	regression	nb:Age	site1-site2	site2	False	explained_variance	1	0	0.0074074853393921725
mega	regression	nb:Age	site1-site2	site1-site2	False	r2	1	0	-25.022856900305737
mega	regression	nb:Age	site1-site2	site1-site2	False	mean_squared_error	1	0	5417.519147656637
mega	regression	nb:Age	site1-site2	site1-site2	False	mean_absolute_error	1	0	72.18457437744497
mega	regression	nb:Age	site1-site2	site1-site2	False	explained_variance	1	0	0.006132751687798921
mega	regression	nb:Age	site1-site2	site1-site2-weighted	False	r2	1	0	-25.02285690030574
mega	regression	nb:Age	site1-site2	site1-site2-weighted	False	mean_squared_error	1	0	5417.519147656637
mega	regression	nb:Age	site1-site2	site1-site2-weighted	False	mean_absolute_error	1	0	72.18457437744499
mega	regression	nb:Age	site1-site2	site1-site2-weighted	False	explained_variance	1	0	0.00613275168779881
silo	regression	nb:Age	site1	site1	True	r2	0	0	-22.49537708683718
silo	regression	nb:Age	site1	site1	True	mean_squared_error	0	0	5169.584230820846
silo	regression	nb:Age	site1	site1	True	mean_absolute_error	0	0	70.35051513131175
silo	regression	nb:Age	site1	site1	True	explained_variance	0	0	-0.0016528100817641
silo	regression	nb:Age	site1	site2	True	r2	0	0	-26.2333984487402
silo	regression	nb:Age	site1	site2	True	mean_squared_error	0	0	5468.261640171819
silo	regression	nb:Age	site1	site2	True	mean_absolute_error	0	0	72.58861482345363
silo	regression	nb:Age	site1	site2	True	explained_variance	0	0	0.008156893090419337
silo	regression	nb:Age	site1	site1-site2	True	r2	0	0	-24.128515541023226
silo	regression	nb:Age	site1	site1-site2	True	mean_squared_error	0	0	5318.922935496333
silo	regression	nb:Age	site1	site1-site2	True	mean_absolute_error	0	0	71.46956497738269
silo	regression	nb:Age	site1	site1-site2	True	explained_variance	0	0	0.0030452796965311224
silo	regression	nb:Age	site1	site1-site2-weighted	True	r2	0	0	-24.128515541023223
silo	regression	nb:Age	site1	site1-site2-weighted	True	mean_squared_error	0	0	5318.922935496332
silo	regression	nb:Age	site1	site1-site2-weighted	True	mean_absolute_error	0	0	71.46956497738269
silo	regression	nb:Age	site1	site1-site2-weighted	True	explained_variance	0	0	0.0030452796965312334
silo	regression	nb:Age	site2	site1	True	r2	0	0	-22.460261023219726
silo	regression	nb:Age	site2	site1	True	mean_squared_error	0	0	5161.857798167547
silo	regression	nb:Age	site2	site1	True	mean_absolute_error	0	0	70.30026054685727
silo	regression	nb:Age	site2	site1	True	explained_variance	0	0	0.0013381436759637433
silo	regression	nb:Age	site2	site2	True	r2	0	0	-26.16198762034672
silo	regression	nb:Age	site2	site2	True	mean_squared_error	0	0	5453.922882769509
silo	regression	nb:Age	site2	site2	True	mean_absolute_error	0	0	72.49870805693364
silo	regression	nb:Age	site2	site2	True	explained_variance	0	0	0.014603475814760403
silo	regression	nb:Age	site2	site1-site2	True	r2	0	0	-24.076393572162978
silo	regression	nb:Age	site2	site1-site2	True	mean_squared_error	0	0	5307.890340468528
silo	regression	nb:Age	site2	site1-site2	True	mean_absolute_error	0	0	71.39948430189547
silo	regression	nb:Age	site2	site1-site2	True	explained_variance	0	0	0.00786524139492284
silo	regression	nb:Age	site2	site1-site2-weighted	True	r2	0	0	-24.076393572162978
silo	regression	nb:Age	site2	site1-site2-weighted	True	mean_squared_error	0	0	5307.890340468528
silo	regression	nb:Age	site2	site1-site2-weighted	True	mean_absolute_error	0	0	71.39948430189546
silo	regression	nb:Age	site2	site1-site2-weighted	True	explained_variance	0	0	0.007865241394922617
federated	regression	nb:Age	site1-site2	site1	True	r2	0	0	-22.42800848754545
federated	regression	nb:Age	site1-site2	site1	True	mean_squared_error	0	0	5154.761414942477
federated	regression	nb:Age	site1-site2	site1	True	mean_absolute_error	0	0	70.25365534040883
